Emotion,Text
sad,"I do n't think I could cope with your heartbreak . "" "
anger,"` You could have lent it to me , "" Paula said , peeved . "
happy,"I was particularly pleased at the emphasis on investment in education and training , in science research and development and the commitments he gave on transport and health and community care . "
shame,"` I 'm embarrassed at the way it 's playin' up . "" "
shame,"Afterwards , she had been annoyed by her reaction and ashamed of her cowardice . "
anger,There was really no reason why Star should be cross .
fear,"Feeling a little frightened of the dead body behind him in the cart , and depressed by the autumn fog , he stopped for some beer at a pub , where he met Jan Coggan and Laban Tall . "
shame,Bishop did n't seem discomfited .
happy,"She gave him a quick amused glance , her head leaning back against the faded red of the alcove seat . "
sad,He remembers the anguish of disapproval and the comforting security of guardians .
sad,"This is a peculiarly nasty technique of persuasion , causing great psychological anguish throughout the middle ages and even today . "
surprise,He saw her glance up in puzzlement and ask why he was still fully dressed .
sad,Politicians who objected to Mrs Thatcher and her radical conviction politics suffered the anguish of apparently unresolvable frustration .
happy,"He chuckled , delighted at having amazed her . "
sad,"Lewis Verne-Smith sat shaking his head , less as a gesture of denial than of a generalized despair at the state of the world . "
sad,"Tolonen nodded , suddenly wistful , his lips formed into a sad smile . "
sad,"Then they walked away , humbled and dejected . "
shame,Now she was getting increasingly embarrassed as Mattie sat waiting for O'Neill .
happy,"He himself was thrilled , but his pleasure was diminished as he imagined Ken 's pallid , bandaged head shadowed on the screen . "
shame,Mum was so embarrassed !
sad,A 16-year-old girl works herself into a frenzy of grief for a friend killed by right-wing vigilantes .
surprise,"My previous astonishment at the fact that people who came here like De Michelis [ the former foreign secretary ] , or like ex-Prime Minister Andreotti , never endowed us with any money is now diminished . "
anger,"She looked a little less resentful than earlier , and -- dare he hope it ? -- even slightly anxious for him . "
happy,"As Christmas approached , the excitement of preparation began to get through to her . "
fear,Some economists feel deep disquiet at the use of food grains to produce motor spirit .
fear,"` I 'm not particularly worried if players do n't score , but you just ca n't stroll around . "
anger,"They left behind them broken glass , tyremarks on the road and another exasperated shop owner . "
happy,Professor Winston said : ` I 'm thrilled to see them all here .
happy,"Normally such a happy , sunny person , she felt a vague disquiet , as though she was changing without her wanting to . "
happy,"I 'm always happy when I 'm wearing trousers and a jacket that covers my bum ! "" "
disgust,Troubled Premier John Major now faces huge protests from disgruntled workers if the cash goes towards creating jobs overseas .
disgust,Her disgruntlement arose from the now obvious fact that the prince was enamoured of Joan .
surprise,Rachel had been nonplussed .
sad,"When I was 15 I was in a depressed state and I thought , I 'll do these last paintings about the end of the world and then I 'll end it . "
happy,"I replied , endeavouring to conceal my excitement . "
surprise,John Lahr told me of his astonishment at how unpleasant he could be to waiters at the Indian restaurant they visited together .
sad,"He became very depressed for some time before he could reassess himself , start to use his considerable abilities and begin courting his wife again . "
shame,"Her meagre shilling donation was an embarrassment in this wealthy company , but she refused to think of it . "
fear,"Bishop Gray was very quick to speak out and express his ` dismay and extreme disappointment "" at the announcement of Cammell Laird 's closure . "
sad,"Many depressed people just withdraw into themselves , they may sleep a lot in the day but have wakeful nights . "
fear,"Disquiet at the new direction of religious affairs soon surfaced in parliament , and over the next few years a growing number of MPs began to speak out against the Arminian threat . "
